model,window,stride,n_windows,target,seed,MAPE,MAE,base_MAPE
PatchTST,192,48,37,Poly_ER,4,48.01670687610122,1159.4727986653645,65.40584382588325
PatchTST,192,48,37,Remain_PR,0,5.524267190752069,0.11381443341573079,6.413686538681264
PatchTST,192,48,37,Remain_PR,1,5.617388624841285,0.11580510934193929,6.413686538681264
PatchTST,192,48,37,Remain_PR,2,5.525232384507641,0.11384312311808269,6.413686538681264
PatchTST,192,48,37,Remain_PR,3,5.537363151994232,0.11405809720357259,6.413686538681264
PatchTST,192,48,37,Remain_PR,4,5.662181852384433,0.11678985754648845,6.413686538681264
XGBoost,256,64,22,Poly_ER,0,43.836765978750044,1080.6670939127605,65.2165725974671
XGBoost,256,64,22,Remain_PR,0,4.9715670221716195,0.10176356633504231,6.407331475993569
LSTM,256,64,22,Poly_ER,0,53.73689550623789,1254.3541870117188,65.2165725974671
LSTM,256,64,22,Poly_ER,1,58.87324521781353,1340.7770385742188,65.2165725974671
LSTM,256,64,22,Poly_ER,2,52.95517079700899,1245.371073404948,65.2165725974671
LSTM,256,64,22,Poly_ER,3,54.8987749271045,1278.5327962239583,65.2165725974671
LSTM,256,64,22,Poly_ER,4,52.987617713305525,1245.460428873698,65.2165725974671
LSTM,256,64,22,Remain_PR,0,5.314512511324035,0.10926612218221028,6.407331475993569
LSTM,256,64,22,Remain_PR,1,5.565426181401068,0.11471796035766602,6.407331475993569
LSTM,256,64,22,Remain_PR,2,5.631624301283155,0.11616937319437663,6.407331475993569
LSTM,256,64,22,Remain_PR,3,5.8738864573446135,0.12137869993845622,6.407331475993569
LSTM,256,64,22,Remain_PR,4,5.917084015399379,0.12235653400421143,6.407331475993569
PatchTST,256,64,22,Poly_ER,0,50.89953083413121,1203.4443359375,65.2165725974671
PatchTST,256,64,22,Poly_ER,1,50.94148365929483,1207.113789876302,65.2165725974671
PatchTST,256,64,22,Poly_ER,2,46.646528750887946,1138.4760335286458,65.2165725974671
PatchTST,256,64,22,Poly_ER,3,42.93192914639414,1075.107645670573,65.2165725974671
PatchTST,256,64,22,Poly_ER,4,49.968161836112884,1193.7748006184895,65.2165725974671
PatchTST,256,64,22,Remain_PR,0,5.1782224037139555,0.1062850554784139,6.407331475993569
PatchTST,256,64,22,Remain_PR,1,5.670727010156139,0.11694121360778809,6.407331475993569
PatchTST,256,64,22,Remain_PR,2,5.386831369843762,0.11085132757822673,6.407331475993569
PatchTST,256,64,22,Remain_PR,3,5.434134730224627,0.11182812849680583,6.407331475993569
PatchTST,256,64,22,Remain_PR,4,5.520764594447827,0.1137024958928426,6.407331475993569
